dataset,node,window,R,k,id,precision,recall,fscore
BGP_testbed_2,leaf1,10,1.0,5,66,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf2,10,1.0,5,67,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf3,10,1.0,5,68,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf5,10,1.0,5,69,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf6,10,1.0,5,70,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf7,10,1.0,5,71,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf8,10,1.0,5,72,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine1,10,1.0,5,73,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine2,10,1.0,5,74,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine3,10,1.0,5,75,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine4,10,1.0,5,76,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf1,10,1.0,5,77,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,1.0,5,78,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf3,10,1.0,5,79,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf5,10,1.0,5,80,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf6,10,1.0,5,81,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf7,10,1.0,5,82,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf8,10,1.0,5,83,0.08,1.0,0.09803921568627451
BGP_testbed_3,spine1,10,1.0,5,84,0.06,1.0,0.07389162561576355
BGP_testbed_3,spine2,10,1.0,5,85,0.06,1.0,0.07389162561576355
BGP_testbed_3,spine3,10,1.0,5,86,0.07,1.0,0.085995085995086
BGP_testbed_3,spine4,10,1.0,5,87,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf1,10,1.0,6,88,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf2,10,1.0,6,89,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf3,10,1.0,6,90,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf5,10,1.0,6,91,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf6,10,1.0,6,92,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf7,10,1.0,6,93,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf8,10,1.0,6,94,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine1,10,1.0,6,95,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine2,10,1.0,6,96,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine3,10,1.0,6,97,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine4,10,1.0,6,98,0.04,1.0,0.04950495049504951
BGP_testbed_3,leaf1,10,1.0,6,99,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,1.0,6,100,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf3,10,1.0,6,101,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf5,10,1.0,6,102,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf6,10,1.0,6,103,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf7,10,1.0,6,104,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf8,10,1.0,6,105,0.07,1.0,0.085995085995086
BGP_testbed_3,spine1,10,1.0,6,106,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine2,10,1.0,6,107,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine3,10,1.0,6,108,0.06,1.0,0.07389162561576355
BGP_testbed_3,spine4,10,1.0,6,109,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf1,10,1.0,7,110,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf2,10,1.0,7,111,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf3,10,1.0,7,112,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf5,10,1.0,7,113,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf6,10,1.0,7,114,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf7,10,1.0,7,115,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf8,10,1.0,7,116,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine1,10,1.0,7,117,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine2,10,1.0,7,118,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine3,10,1.0,7,119,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine4,10,1.0,7,120,0.03,1.0,0.03722084367245657
BGP_testbed_3,leaf1,10,1.0,7,121,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,1.0,7,122,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf3,10,1.0,7,123,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf5,10,1.0,7,124,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf6,10,1.0,7,125,0.07,1.0,0.085995085995086
BGP_testbed_3,leaf7,10,1.0,7,126,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf8,10,1.0,7,127,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine1,10,1.0,7,128,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine2,10,1.0,7,129,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine3,10,1.0,7,130,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine4,10,1.0,7,131,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf1,10,1.0,8,132,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf2,10,1.0,8,133,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf3,10,1.0,8,134,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf5,10,1.0,8,135,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf6,10,1.0,8,136,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf7,10,1.0,8,137,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf8,10,1.0,8,138,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine1,10,1.0,8,139,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine2,10,1.0,8,140,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine3,10,1.0,8,141,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine4,10,1.0,8,142,0.03,1.0,0.03722084367245657
BGP_testbed_3,leaf1,10,1.0,8,143,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,1.0,8,144,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf3,10,1.0,8,145,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf5,10,1.0,8,146,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf6,10,1.0,8,147,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf7,10,1.0,8,148,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf8,10,1.0,8,149,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine1,10,1.0,8,150,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine2,10,1.0,8,151,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine3,10,1.0,8,152,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine4,10,1.0,8,153,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf1,10,1.0,9,154,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf2,10,1.0,9,155,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf3,10,1.0,9,156,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf5,10,1.0,9,157,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf6,10,1.0,9,158,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf7,10,1.0,9,159,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf8,10,1.0,9,160,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine1,10,1.0,9,161,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine2,10,1.0,9,162,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine3,10,1.0,9,163,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine4,10,1.0,9,164,0.03,1.0,0.03722084367245657
BGP_testbed_3,leaf1,10,1.0,9,165,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,1.0,9,166,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf3,10,1.0,9,167,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf5,10,1.0,9,168,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf6,10,1.0,9,169,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf7,10,1.0,9,170,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf8,10,1.0,9,171,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine1,10,1.0,9,172,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine2,10,1.0,9,173,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine3,10,1.0,9,174,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine4,10,1.0,9,175,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf1,10,2.0,2,176,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf2,10,2.0,2,177,0.06,1.0,0.07389162561576355
